23:18:30.673 [main] INFO  main.java.client.Client - Começou!
23:18:32.006 [Thread-140] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=14100.000000000002 Result= 833715.008488123 Tempo=584
23:18:32.032 [Thread-119] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=12000.0 Result= 833715.0117185571 Tempo=688
23:18:32.034 [Thread-138] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=13900.0 Result= 833715.008733253 Tempo=612
23:18:32.034 [Thread-145] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=14600.000000000002 Result= 833715.0079170567 Tempo=611
23:18:32.035 [Thread-131] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=13200.000000000002 Result= 833715.0096847739 Tempo=641
23:18:32.038 [Thread-122] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=12300.0 Result= 833715.0111536545 Tempo=692
23:18:32.039 [Thread-142] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=14300.0 Result= 833715.008252655 Tempo=616
23:18:32.039 [Thread-125] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=12600.000000000002 Result= 833715.0106288297 Tempo=678
23:18:32.050 [Thread-144] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=14500.0 Result= 833715.0080262527 Tempo=626
23:18:32.052 [Thread-148] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=14900.0 Result= 833715.0076016912 Tempo=626
23:18:32.055 [Thread-149] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=15000.0 Result= 833715.0075009976 Tempo=629
23:18:32.055 [Thread-128] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=12900.0 Result= 833715.010139634 Tempo=661
23:18:32.056 [Thread-137] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=13800.0 Result= 833715.008860906 Tempo=634
23:18:32.645 [Thread-150] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=15100.000000000002 Result= 833715.0074006525 Tempo=589
23:18:32.676 [Thread-154] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=15500.0 Result= 833715.0070232543 Tempo=618
23:18:32.764 [Thread-152] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=15300.0 Result= 833715.0072090517 Tempo=708
23:18:32.789 [Thread-153] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=15400.0 Result= 833715.0071153085 Tempo=733
23:18:32.832 [Thread-155] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=15600.000000000002 Result= 833715.0069342746 Tempo=774
23:18:32.862 [Thread-151] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=15200.000000000002 Result= 833715.0073047682 Tempo=806
23:18:32.862 [Thread-197] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=19800.0 Result= 833715.0043024186 Tempo=776
23:18:32.862 [Thread-163] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=16400.000000000004 Result= 833715.0062747574 Tempo=801
23:18:32.912 [Thread-156] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=15700.000000000002 Result= 833715.0068458548 Tempo=854
23:18:32.932 [Thread-165] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=16600.0 Result= 833715.006122566 Tempo=869
23:18:32.945 [Thread-192] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=19300.0 Result= 833715.0045315397 Tempo=863
23:18:32.950 [Thread-166] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=16700.0 Result= 833715.0060499529 Tempo=887
23:18:32.962 [Thread-161] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=16200.0 Result= 833715.0064304323 Tempo=901
23:18:32.973 [Thread-181] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=18200.0 Result= 833715.0050943048 Tempo=899
23:18:32.978 [Thread-167] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=16800.0 Result= 833715.0059789278 Tempo=913
23:18:32.985 [Thread-177] INFO  main.java.client.Request - Hostname=71fb17c20b98 a=1.0 b=10.0 n=17800.0 Result= 833715.0053260658 Tempo=907
23:18:32.987 [Thread-168] INFO  main.java.client.Request - Hostname=a9a979056268 a=1.0 b=10.0 n=16900.000000000004 Result= 833715.0059088854 Tempo=920
23:18:32.989 [Thread-178] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=17900.000000000004 Result= 833715.0052658848 Tempo=916
23:18:33.012 [Thread-193] INFO  main.java.client.Request - Hostname=34c9e8fe84cd a=1.0 b=10.0 n=19400.000000000004 Result= 833715.0044837759 Tempo=929
23:18:33.035 [Thread-184] INFO  main.java.client.Request - Hostname=c7cfb4548d1a a=1.0 b=10.0 n=18500.0 Result= 833715.0049300914 Tempo=956
